H46, 瓦楞子 | Wa Leng Zi
D72, 王不留行 | Wang Bu Liu Xing
F71, 威灵仙 | Wei Ling Xian
G66, 五加皮 | Wu Jia Pi
G66, 五倍子 | Wu Bei Zi
A53, 乌梅 | Wu Mei
G75, 五灵脂 | Wu Ling Zhi
F21, 五味子 | Wu Wei Zi
B31, 乌药 | Wu Yao
B64, 吴茱萸 | Wu Zhu Yu
D22, 豨莶草 | Xi Xian Cao
C61, 薤白 | Xie Bai
C35, 夏枯草 | Xia Ku Cao
B33, 仙鹤草 | Xian He Cao
E35, 仙茅 | Xian Mao
B52, 香附 | Xiang Fu
B12, 香薷 | Xiang Ru
B72, 小茴香 | Xiao Hui Xiang
C42, 辛夷花 | Xin Yi Hua
E32, 徐长卿 | Xu Chang Qing
A51, 玄参 | Xuan Shen
H43, 阳起石 | Yang Qi Shi
G24, 野菊花 | Ye Ju Hua
A54, 益母草 | Yi Mu Cao
F14, 薏苡仁 | Yi Yi Ren
A25, 茵陈 | Yin Chen
B75, 禹白附 | Yu Bai Fu
G34, 郁李仁 | Yu Li Ren
H23, 玉竹 | Yu Zhu
E53, 远志 | Yuan Zhi
A53, 泽兰 | Ze Lan
A35, 泽泻 | Ze Xie
E43, 浙贝母 | Zhe Bei Mu
D61, 珍珠母 | Zhen Zhu Mu
E21, 炙甘草 | Zhi Gan Cao
C72, 枳壳 | Zhi Ke
C33, 知母 | Zhi Mu
B23, 枳实 | Zhi Shi
A64, 猪苓 | Zhu Ling
A24, 竹茹 | Zhu Ru
E42, 竹叶 | Zhu Ye
B27, 紫草 | Zi Cao
G64, 紫苏叶 | Zi Su Ye
D62, 紫苏子 | Zi Su Zi
